epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2338.73,1.47196,1.00303,1.21293,0.68795,0.52861,0.6478,0.39652,1.71945,1.03199,1.56408,0.00990161,0.00990161,0.00990161
91,2364.6,1.4768,1.01382,1.21487,0.70774,0.52124,0.65036,0.39462,1.75423,1.04266,1.59104,0.00989939,0.00989939,0.00989939
92,2390.63,1.47016,1.00382,1.21737,0.65933,0.5203,0.63158,0.38303,1.76831,1.08113,1.64425,0.00989715,0.00989715,0.00989715
93,2416.49,1.47828,0.99762,1.20867,0.63931,0.52792,0.6276,0.36996,1.76802,1.09955,1.59041,0.00989489,0.00989489,0.00989489
94,2442.57,1.46402,0.98947,1.21362,0.67168,0.52337,0.63803,0.39292,1.72362,1.05713,1.59144,0.0098926,0.0098926,0.0098926
95,2468.81,1.45361,0.9783,1.20348,0.66594,0.51939,0.6347,0.3804,1.77438,1.08191,1.66664,0.00989029,0.00989029,0.00989029
96,2495,1.46091,0.97918,1.20893,0.69189,0.5261,0.64886,0.39212,1.75322,1.05031,1.59937,0.00988795,0.00988795,0.00988795
97,2520.94,1.45294,0.98745,1.20612,0.68589,0.53101,0.65053,0.39369,1.75586,1.05519,1.61204,0.00988559,0.00988559,0.00988559
98,2546.99,1.45559,0.98103,1.20362,0.68309,0.53202,0.64978,0.39552,1.75562,1.05074,1.62507,0.0098832,0.0098832,0.0098832
99,2573.07,1.44107,0.96459,1.1953,0.65931,0.51543,0.627,0.37742,1.73574,1.09021,1.64462,0.00988079,0.00988079,0.00988079
100,2599.3,1.46088,0.97196,1.20346,0.65574,0.52584,0.63073,0.36546,1.81963,1.12594,1.68916,0.00987835,0.00987835,0.00987835
101,2625.4,1.4569,0.97291,1.19895,0.6837,0.53156,0.65014,0.39762,1.71858,1.05506,1.58529,0.00987589,0.00987589,0.00987589
102,2651.6,1.43739,0.95545,1.1948,0.71387,0.52958,0.66273,0.41159,1.6831,0.99866,1.54282,0.00987341,0.00987341,0.00987341
103,2677.89,1.4277,0.95911,1.19406,0.67521,0.51499,0.63579,0.37779,1.75069,1.08068,1.62475,0.0098709,0.0098709,0.0098709
104,2704.16,1.44375,0.96553,1.19626,0.71466,0.52864,0.65798,0.40549,1.72138,1.02509,1.59133,0.00986837,0.00986837,0.00986837
105,2730.1,1.43926,0.97181,1.2013,0.68997,0.53292,0.65352,0.40095,1.72404,1.04755,1.61876,0.00986581,0.00986581,0.00986581
106,2756.29,1.4455,0.97098,1.20567,0.66625,0.51926,0.63662,0.39643,1.72194,1.05552,1.63526,0.00986323,0.00986323,0.00986323
107,2782.42,1.43598,0.95645,1.19847,0.68705,0.53321,0.65355,0.39964,1.71551,1.02008,1.57522,0.00986063,0.00986063,0.00986063
108,2808.31,1.42985,0.94378,1.18883,0.72964,0.53142,0.67112,0.42385,1.66274,0.96453,1.53784,0.009858,0.009858,0.009858
109,2834.47,1.42747,0.94456,1.18833,0.68848,0.53391,0.6543,0.39877,1.72117,1.03023,1.6041,0.00985534,0.00985534,0.00985534
110,2860.38,1.43782,0.96926,1.2002,0.70369,0.52231,0.65264,0.3983,1.70727,1.02755,1.56838,0.00985267,0.00985267,0.00985267
111,2886.55,1.43906,0.95943,1.19835,0.68745,0.52735,0.64921,0.40228,1.7148,1.03599,1.63666,0.00984996,0.00984996,0.00984996
112,2912.39,1.43443,0.94937,1.19369,0.72329,0.52869,0.6653,0.41476,1.69463,0.99512,1.55775,0.00984724,0.00984724,0.00984724
113,2938.24,1.43126,0.93094,1.18076,0.67512,0.53118,0.64866,0.40831,1.69005,1.02345,1.61139,0.00984449,0.00984449,0.00984449
114,2963.94,1.4301,0.95191,1.19301,0.69239,0.52727,0.64867,0.38907,1.74681,1.05141,1.59344,0.00984171,0.00984171,0.00984171
115,2990.12,1.42621,0.93636,1.1839,0.70811,0.52867,0.6576,0.41439,1.6808,1.00346,1.59924,0.00983891,0.00983891,0.00983891
116,3015.88,1.4128,0.92826,1.18386,0.73249,0.54157,0.67988,0.43082,1.65217,0.95136,1.53673,0.00983609,0.00983609,0.00983609
117,3041.74,1.39969,0.91672,1.17757,0.71457,0.53524,0.66738,0.42353,1.67631,0.99024,1.5913,0.00983324,0.00983324,0.00983324
118,3067.65,1.40438,0.92438,1.17663,0.71542,0.52718,0.66198,0.42082,1.66661,0.98918,1.57968,0.00983037,0.00983037,0.00983037
119,3094.64,1.41266,0.92285,1.17984,0.72515,0.53485,0.67133,0.42123,1.67809,0.97364,1.53511,0.00982748,0.00982748,0.00982748
120,3120.53,1.39944,0.92266,1.18064,0.7465,0.53839,0.6816,0.43721,1.63458,0.94273,1.56184,0.00982456,0.00982456,0.00982456
121,3146.26,1.39802,0.91615,1.17823,0.73318,0.53506,0.67707,0.4284,1.65267,0.95907,1.5452,0.00982162,0.00982162,0.00982162
122,3172.35,1.40463,0.91495,1.17572,0.70267,0.5007,0.6343,0.40469,1.67594,1.01736,1.61787,0.00981865,0.00981865,0.00981865
123,3198.61,1.39891,0.90751,1.17242,0.7544,0.53363,0.68042,0.43343,1.64587,0.94225,1.54653,0.00981566,0.00981566,0.00981566
124,3224.9,1.3948,0.90555,1.1731,0.74377,0.54,0.68225,0.43497,1.63726,0.94791,1.52106,0.00981264,0.00981264,0.00981264
125,3250.7,1.40676,0.90754,1.17204,0.72577,0.52622,0.66158,0.41236,1.69885,1.00522,1.62389,0.0098096,0.0098096,0.0098096
126,3276.33,1.39368,0.9158,1.18162,0.75392,0.52552,0.67642,0.43881,1.62289,0.92525,1.54848,0.00980654,0.00980654,0.00980654
